DAY,Asset1,Asset2,Asset3,Asset4
1,73.413,3230.78,1.1212,1517.29
2,75.088,3257.85,1.1172,1529.13
3,74.358,3234.85,1.1161,1552.2
4,74.95,3246.28,1.1197,1565.74
5,74.598,3237.18,1.1153,1574.37
6,75.798,3253.05,1.1105,1556.42
7,77.408,3274.7,1.1106,1552.32
8,77.583,3265.35,1.1121,1562.34
9,79.24,3288.13,1.1134,1547.88
10,78.17,3283.15,1.1128,1546.39
11,77.835,3289.29,1.115,1556.25
12,78.81,3316.81,1.1137,1552.51
13,79.683,3329.62,1.1092,1557.24
14,79.683,3329.62,1.1095,1560.77
15,79.143,3320.79,1.1082,1558.17
16,79.425,3321.75,1.1093,1558.78
17,79.808,3325.54,1.1055,1562.94
18,79.578,3295.47,1.1025,1571.53
19,77.238,3243.63,1.1019,1582.06
20,79.423,3276.24,1.1022,1567.17
21,81.085,3273.4,1.101,1576.83
22,80.968,3283.66,1.1032,1574.28
23,77.378,3225.52,1.1093,1589.16
24,77.165,3248.92,1.106,1576.73
25,79.713,3297.59,1.1044,1552.92
26,80.363,3334.69,1.0999,1556.02
27,81.303,3345.78,1.0983,1566.66
28,80.008,3327.71,1.0946,1570.44
29,80.388,3352.09,1.0911,1572.15
30,79.903,3357.75,1.0916,1567.89
31,81.8,3379.45,1.0874,1566.06
32,81.218,3373.94,1.0841,1576
33,81.238,3380.16,1.0831,1584.06
34,81.238,3380.16,1.0836,1581.13
35,79.75,3370.29,1.0792,1601.61
36,80.905,3386.15,1.0805,1611.7
37,80.075,3373.23,1.0785,1619.56
38,78.263,3337.75,1.0847,1643.41
39,74.545,3225.89,1.0854,1659.38
40,72.02,3128.21,1.0882,1635.14
41,73.163,3116.39,1.0881,1640.96
42,68.38,2978.76,1.1001,1645.01
43,68.34,2954.22,1.1026,1585.69
44,74.703,3090.23,1.1134,1589.44
45,72.33,3003.37,1.1173,1640.9
46,75.685,3130.12,1.1136,1636.93
47,73.23,3023.94,1.1237,1672.23
48,72.258,2972.37,1.1284,1673.83
49,66.543,2746.56,1.145,1680.47
50,71.335,2882.23,1.1281,1649.4
51,68.858,2741.38,1.127,1635.04
52,62.058,2480.64,1.1185,1576.15
53,69.493,2711.02,1.1107,1529.83
54,60.553,2386.13,1.1183,1514.1
55,63.215,2529.19,1.0997,1528.3
56,61.668,2398.1,1.0915,1486.05
57,61.195,2409.39,1.0692,1471.24
58,57.31,2304.92,1.0688,1498.65
59,56.093,2237.4,1.0726,1553.23
60,61.72,2447.33,1.0788,1632.32
61,61.38,2475.56,1.0882,1616.9
62,64.61,2630.07,1.1032,1631.34
63,61.935,2541.47,1.1141,1628.16
64,63.703,2626.65,1.1048,1622.51
65,63.573,2584.59,1.1031,1577.18
66,60.228,2470.5,1.0964,1591.51
67,61.233,2526.9,1.0858,1613.99
68,60.353,2488.65,1.0801,1620.81
69,65.618,2663.68,1.0793,1660.97
70,64.858,2659.41,1.0892,1647.72
71,66.518,2749.98,1.0858,1646.14
72,66.998,2789.82,1.093,1683.73
73,66.998,2789.82,1.0937,1696.65
74,68.313,2761.63,1.0914,1715.34
75,71.763,2846.06,1.098,1726.97
76,71.108,2783.36,1.091,1717.03
77,71.673,2799.55,1.084,1717.7
78,70.7,2874.56,1.0875,1682.82
79,69.233,2823.16,1.0862,1695.65
80,67.093,2736.56,1.0858,1686.2
81,69.025,2799.31,1.0823,1714.08
82,68.758,2797.8,1.0777,1730.51
83,70.743,2836.74,1.0823,1729.6
84,70.793,2878.48,1.0829,1713.99
85,69.645,2863.39,1.082,1707.79
86,71.933,2939.51,1.0873,1713.41
87,73.45,2912.43,1.0955,1686.5
88,72.268,2830.71,1.0981,1700.42
89,73.29,2842.74,1.0907,1702.07
90,74.39,2868.44,1.084,1705.92
91,75.158,2848.42,1.0795,1685.71
92,75.935,2881.19,1.0834,1716.06
93,77.533,2929.8,1.0839,1702.7
94,78.753,2930.32,1.0807,1697.93
95,77.853,2870.12,1.0848,1702.7
96,76.913,2820,1.0818,1716.28
97,77.385,2852.5,1.0805,1730.3
98,76.928,2863.7,1.082,1743.67
99,78.74,2953.91,1.0913,1732.55
100,78.285,2922.94,1.0923,1745.05
101,79.808,2971.61,1.098,1748.18
102,79.213,2948.51,1.095,1727
103,79.723,2955.45,1.0901,1734.68
104,79.723,2955.45,1.0898,1731.95
105,79.183,2991.77,1.0982,1710.58
106,79.528,3036.13,1.1006,1709.47
107,79.563,3029.73,1.1077,1718.33
108,79.485,3044.31,1.1101,1730.27
109,80.463,3055.73,1.1136,1739.55
110,80.835,3080.82,1.117,1727.7
111,81.28,3122.87,1.1233,1699.67
112,80.58,3112.35,1.1338,1714.01
113,82.875,3193.93,1.1292,1685.06
114,83.365,3232.39,1.1294,1698.53
115,85.998,3207.18,1.134,1715.33
116,88.21,3190.14,1.1374,1738.7
117,83.975,3002.1,1.1299,1727.7
118,84.7,3041.31,1.1256,1730.75
119,85.748,3066.59,1.1323,1725.16
120,88.02,3124.74,1.1264,1726.53
121,87.898,3113.49,1.1244,1726.95
122,87.933,3115.34,1.1205,1722.93
123,87.43,3097.74,1.1178,1743.87
124,89.718,3117.86,1.1261,1754.43
125,91.633,3131.29,1.1308,1768.41
126,90.015,3050.33,1.1251,1761.17
127,91.21,3083.76,1.1218,1763.79
128,88.408,3009.05,1.1219,1771.29
129,90.445,3053.24,1.1242,1772.82
130,91.2,3100.29,1.1234,1780.96
131,91.028,3115.86,1.1251,1770.09
132,91.028,3130.01,1.1239,1775.38
133,91.028,3130.01,1.1248,1775.95
134,93.463,3179.72,1.1309,1784.68
135,93.173,3145.32,1.1274,1794.86
136,95.343,3169.94,1.133,1808.89
137,95.683,3152.05,1.1285,1803.55
138,95.92,3185.04,1.13,1798.7
139,95.478,3155.22,1.1344,1802.76
140,97.058,3197.52,1.14,1809.36
141,97.725,3226.56,1.1412,1810.29
142,96.523,3215.57,1.1384,1797.16
143,96.328,3224.73,1.1428,1810.42
144,98.358,3251.84,1.1448,1817.77
145,97,3257.3,1.1527,1841.91
146,97.273,3276.02,1.157,1871.41
147,92.845,3235.66,1.1596,1887.44
148,92.615,3215.63,1.1656,1902.02
149,94.81,3239.41,1.1752,1942.24
150,93.253,3218.44,1.1716,1958.43
151,95.04,3258.44,1.1792,1970.79
152,96.19,3246.22,1.1847,1956.64
153,106.26,3271.12,1.1778,1975.86
154,108.938,3294.61,1.1762,1976.98
155,109.665,3306.51,1.1803,2019.21
156,110.063,3327.77,1.1863,2038.12
157,113.903,3349.16,1.1877,2063.54
158,111.113,3351.28,1.1787,2035.55
159,112.728,3360.47,1.1738,2027.34
160,109.375,3333.69,1.174,1911.89
161,113.01,3380.35,1.1784,1915.83
162,115.01,3373.43,1.1814,1953.71
163,114.908,3372.85,1.1842,1945.12
164,114.608,3381.99,1.187,1985.3
165,115.563,3389.78,1.1931,2002.44
166,115.708,3374.85,1.1838,1928.98
167,118.275,3385.51,1.186,1947.26
168,124.37,3397.16,1.1797,1940.48
169,125.858,3431.28,1.1788,1928.88
170,124.825,3443.62,1.1835,1928.18
171,126.523,3478.73,1.183,1954.46
172,125.01,3484.55,1.1822,1929.54
173,124.808,3508.01,1.1903,1964.83
174,129.04,3500.31,1.1936,1967.8
175,134.18,3526.65,1.1912,1970.18
176,131.4,3580.84,1.1855,1942.92
177,120.88,3455.06,1.1852,1930.91
178,120.96,3426.96,1.1838,1933.94
179,120.96,3426.96,1.1817,1933.64
180,112.82,3331.84,1.1778,1932.03
181,117.32,3398.96,1.1803,1946.84
182,113.49,3339.19,1.1815,1946.09
183,112,3340.97,1.1846,1940.55
184,115.355,3383.54,1.1866,1956.86
185,115.54,3401.2,1.1847,1954.15
186,112.13,3385.49,1.1816,1959.26
187,110.34,3357.01,1.1848,1944.44
188,106.84,3319.47,1.184,1950.86
189,110.08,3281.06,1.1771,1912.51
190,111.81,3315.57,1.1708,1900.21
191,107.12,3236.92,1.166,1863.34
192,108.22,3246.59,1.1672,1868.07
193,112.28,3298.46,1.1631,1861.58
194,114.96,3351.6,1.1666,1881.48
